date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2011-02-08,15056N,2221,0,18,2159
2011-02-15,15056N,2008,308,18,2159
2011-02-22,15056N,1991,308,18,2159
2011-03-01,15056N,2214,0,18,2159
2011-03-08,15056N,2187,0,18,2159
2011-03-15,15056N,2089,347,18,2159
2011-03-22,15056N,1876,347,18,2159
2011-03-29,15056N,2200,0,18,2159
2011-04-05,15056N,2063,328,18,2159
2011-04-12,15056N,2052,328,18,2159
2011-04-19,15056N,2343,0,18,2159
2011-04-26,15056N,2322,0,18,2159
2011-05-03,15056N,2205,0,18,2159
2011-05-10,15056N,2075,363,18,2159
2011-05-17,15056N,2002,363,18,2159
2011-05-24,15056N,2310,0,18,2159
2011-05-31,15056N,2281,0,18,2159
2011-06-07,15056N,2234,0,18,2159
2011-06-14,15056N,2118,339,18,2159
2011-06-21,15056N,1934,339,18,2159
2011-06-28,15056N,1888,339,18,2159
2011-07-05,15056N,2097,369,18,2159
2011-07-12,15056N,1862,369,18,2159
2011-07-19,15056N,1729,695,18,2159
2011-07-26,15056N,1866,326,18,2159
2011-08-02,15056N,1843,326,18,2159
2011-08-09,15056N,2058,360,18,2159
2011-08-16,15056N,2027,360,18,2159
2011-08-23,15056N,2189,0,18,2159
2011-08-30,15056N,2106,329,18,2159
2011-09-06,15056N,2071,329,18,2159
2011-09-13,15056N,2209,0,18,2159
2011-09-20,15056N,2113,340,18,2159
2011-09-27,15056N,2083,340,18,2159
2011-10-04,15056N,2012,340,18,2159
2011-10-11,15056N,2318,0,18,2159
2011-10-18,15056N,2294,0,18,2159
2011-10-25,15056N,2159,0,18,2159
2011-11-01,15056N,2124,332,18,2159
2011-11-08,15056N,2117,332,18,2159
2011-11-15,15056N,2388,0,18,2159
2011-11-22,15056N,2315,0,18,2159
2011-11-29,15056N,2303,0,18,2159
2011-12-06,15056N,2267,0,18,2159
2009-12-01,20679,1671,853,18,2226
2009-12-08,20679,715,1616,18,2226
2009-12-15,20679,23,2461,18,2226
2009-12-22,20679,1616,845,18,2226
2009-12-29,20679,2461,0,18,2226
2010-01-05,20679,2461,0,18,2226
2010-01-12,20679,1538,976,18,2226
2010-01-19,20679,1369,976,18,2226
2010-01-26,20679,1998,300,18,2226
2010-02-02,20679,2290,0,18,2226
2010-02-09,20679,2286,0,18,2226
2010-02-16,20679,2266,0,18,2226
2010-02-23,20679,2239,0,18,2226
2010-03-02,20679,2138,351,18,2226
2010-03-09,20679,2089,351,18,2226
2010-03-16,20679,2363,0,18,2226
2010-03-23,20679,2356,0,18,2226
2010-03-30,20679,2328,0,18,2226
2010-04-06,20679,2317,0,18,2226
2010-04-13,20679,2301,0,18,2226
2010-04-20,20679,2276,0,18,2226
2010-04-27,20679,2256,0,18,2226
2010-05-04,20679,2247,0,18,2226
2010-05-11,20679,2224,300,18,2226
2010-05-18,20679,2215,300,18,2226
2010-05-25,20679,2183,300,18,2226
2010-06-01,20679,2480,0,18,2226
2010-06-08,20679,2473,0,18,2226
2010-06-15,20679,2452,0,18,2226
2010-06-22,20679,2434,0,18,2226
2010-06-29,20679,2428,0,18,2226
2010-07-06,20679,2404,0,18,2226
2010-07-13,20679,2399,0,18,2226
2010-07-20,20679,2380,0,18,2226
2010-07-27,20679,2374,0,18,2226
2010-08-03,20679,2303,0,18,2226
2010-08-10,20679,2285,0,18,2226
2010-08-17,20679,2260,0,18,2226
2010-08-24,20679,2226,0,18,2226
2010-08-31,20679,2195,307,18,2226
2010-09-07,20679,2124,307,18,2226
2010-09-14,20679,2412,0,18,2226
2010-09-21,20679,2288,0,18,2226
2010-09-28,20679,2195,303,18,2226
2010-10-05,20679,2149,303,18,2226
2010-10-12,20679,2380,0,18,2226
2010-10-19,20679,2335,0,18,2226
2010-10-26,20679,2234,0,18,2226
2010-11-02,20679,2209,302,18,2226
2010-11-09,20679,2063,302,18,2226
2010-11-16,20679,2025,302,18,2226
2010-11-23,20679,2283,0,18,2226
2010-11-30,20679,2244,0,18,2226
2010-12-07,20679,2150,317,18,2226
2010-12-14,20679,2122,317,18,2226
2010-12-21,20679,2415,0,18,2226
2010-12-28,20679,2413,0,18,2226
2011-01-04,20679,2413,0,18,2226
2011-01-11,20679,2369,0,18,2226
2011-01-18,20679,2340,0,18,2226
2011-01-25,20679,2272,0,18,2226
2011-02-01,20679,2249,0,18,2226
2011-02-08,20679,2225,299,18,2226
2011-02-15,20679,2221,299,18,2226
2011-02-22,20679,2210,299,18,2226
2011-03-01,20679,2491,0,18,2226
2011-03-08,20679,2484,0,18,2226
2011-03-15,20679,2472,0,18,2226
2011-03-22,20679,2434,0,18,2226
2011-03-29,20679,2404,0,18,2226
2011-04-05,20679,2399,0,18,2226
2011-04-12,20679,2391,0,18,2226
2011-04-19,20679,2377,0,18,2226
2011-04-26,20679,2374,0,18,2226
2011-05-03,20679,2362,0,18,2226
2011-05-10,20679,2295,0,18,2226
2011-05-17,20679,2220,300,18,2226
2011-05-24,20679,2191,300,18,2226
2011-05-31,20679,2489,0,18,2226
2011-06-07,20679,2483,0,18,2226
2011-06-14,20679,2476,0,18,2226
2011-06-21,20679,2450,0,18,2226
2011-06-28,20679,2444,0,18,2226
2011-07-05,20679,2420,0,18,2226
2011-07-12,20679,2392,0,18,2226
2011-07-19,20679,2299,0,18,2226
2011-07-26,20679,2283,0,18,2226
2011-08-02,20679,2269,0,18,2226
2011-08-09,20679,2262,0,18,2226
2011-08-16,20679,2252,0,18,2226
2011-08-23,20679,2104,414,18,2226
2011-08-30,20679,2065,414,18,2226
2011-09-06,20679,2462,0,18,2226
2011-09-13,20679,2439,0,18,2226
2011-09-20,20679,2390,0,18,2226
2011-09-27,20679,2347,0,18,2226
2011-10-04,20679,2331,0,18,2226
2011-10-11,20679,2321,0,18,2226
2011-10-18,20679,2279,0,18,2226
2011-10-25,20679,2160,364,18,2226
2011-11-01,20679,2065,364,18,2226
2011-11-08,20679,2037,364,18,2226
2011-11-15,20679,2304,0,18,2226
2011-11-22,20679,2283,0,18,2226
2011-11-29,20679,2279,0,18,2226
2011-12-06,20679,2263,0,18,2226
2009-12-01,20685,519,330,18,556
2009-12-08,20685,379,330,18,556
2009-12-15,20685,139,710,18,556
2009-12-22,20685,340,380,18,556
2009-12-29,20685,330,380,18,556
2010-01-05,20685,709,0,18,556
2010-01-12,20685,437,303,18,556
2010-01-19,20685,388,303,18,556
2010-01-26,20685,592,0,18,556
2010-02-02,20685,496,301,18,556
2010-02-09,20685,120,650,18,556
2010-02-16,20685,301,349,18,556
2010-02-23,20685,334,316,18,556
2010-03-02,20685,84,671,18,556
2010-03-09,20685,275,355,18,556
2010-03-16,20685,551,298,18,556
2010-03-23,20685,446,298,18,556
2010-03-30,20685,350,298,18,556
2010-04-06,20685,586,0,18,556
2010-04-13,20685,545,294,18,556
2010-04-20,20685,543,294,18,556
2010-04-27,20685,837,0,18,556
2010-05-04,20685,801,0,18,556
2010-05-11,20685,669,0,18,556
2010-05-18,20685,524,296,18,556
2010-05-25,20685,432,296,18,556
2010-06-01,20685,381,296,18,556
2010-06-08,20685,618,0,18,556
2010-06-15,20685,485,364,18,556
2010-06-22,20685,415,364,18,556
2010-06-29,20685,271,364,18,556
2010-07-06,20685,548,301,18,556
2010-07-13,20685,491,301,18,556
2010-07-20,20685,418,301,18,556
2010-07-27,20685,648,0,18,556
2010-08-03,20685,549,296,18,556
2010-08-10,20685,498,296,18,556
2010-08-17,20685,360,296,18,556
2010-08-24,20685,514,295,18,556
2010-08-31,20685,470,295,18,556
2010-09-07,20685,653,0,18,556
2010-09-14,20685,593,0,18,556
2010-09-21,20685,475,323,18,556
2010-09-28,20685,402,323,18,556
2010-10-05,20685,613,0,18,556
2010-10-12,20685,523,294,18,556
2010-10-19,20685,408,294,18,556
2010-10-26,20685,358,294,18,556
2010-11-02,20685,578,0,18,556
2010-11-09,20685,492,297,18,556
2010-11-16,20685,266,297,18,556
2010-11-23,20685,441,337,18,556
2010-11-30,20685,355,337,18,556
2010-12-07,20685,547,302,18,556
2010-12-14,20685,406,302,18,556
2010-12-21,20685,312,302,18,556
2010-12-28,20685,609,0,18,556
2011-01-04,20685,609,0,18,556
2011-01-11,20685,548,294,18,556
2011-01-18,20685,502,294,18,556
2011-01-25,20685,685,0,18,556
2011-02-01,20685,584,0,18,556
2011-02-08,20685,531,297,18,556
2011-02-15,20685,509,297,18,556
2011-02-22,20685,740,0,18,556
2011-03-01,20685,701,0,18,556
2011-03-08,20685,603,0,18,556
2011-03-15,20685,573,0,18,556
2011-03-22,20685,512,301,18,556
2011-03-29,20685,493,301,18,556
2011-04-05,20685,736,0,18,556
2011-04-12,20685,671,0,18,556
2011-04-19,20685,655,0,18,556
2011-04-26,20685,643,0,18,556
2011-05-03,20685,633,0,18,556
2011-05-10,20685,536,298,18,556
2011-05-17,20685,203,609,18,556
2011-05-24,20685,167,609,18,556
2011-05-31,20685,397,311,18,556
2011-06-07,20685,466,383,18,556
2011-06-14,20685,120,701,18,556
2011-06-21,20685,26,701,18,556
2011-06-28,20685,710,0,18,556
2011-07-05,20685,296,551,18,556
2011-07-12,20685,245,551,18,556
2011-07-19,20685,178,551,18,556
2011-07-26,20685,639,0,18,556
2011-08-02,20685,626,0,18,556
2011-08-09,20685,576,0,18,556
2011-08-16,20685,561,0,18,556
2011-08-23,20685,503,308,18,556
2011-08-30,20685,482,308,18,556
2011-09-06,20685,746,0,18,556
2011-09-13,20685,709,0,18,556
2011-09-20,20685,687,0,18,556
2011-09-27,20685,647,0,18,556
2011-10-04,20685,570,0,18,556
2011-10-11,20685,533,308,18,556
2011-10-18,20685,479,308,18,556
2011-10-25,20685,754,0,18,556
2011-11-01,20685,689,0,18,556
2011-11-08,20685,607,0,18,556
2011-11-15,20685,566,0,18,556
2011-11-22,20685,443,294,18,556
2011-11-29,20685,378,294,18,556
2011-12-06,20685,626,0,18,556
2009-12-01,20711,379,344,24,693
2009-12-08,20711,332,391,24,693
2009-12-15,20711,114,609,24,693
2009-12-22,20711,0,721,24,693
2009-12-29,20711,344,377,24,693
2010-01-05,20711,476,225,24,693
2010-01-12,20711,598,125,24,693
2010-01-19,20711,570,125,24,693
2010-01-26,20711,507,209,24,693
2010-02-02,20711,473,240,24,693
2010-02-09,20711,417,296,24,693
2010-02-16,20711,374,339,24,693
2010-02-23,20711,365,348,24,693
2010-03-02,20711,270,433,24,693
2010-03-09,20711,116,595,24,693
2010-03-16,20711,209,503,24,693
2010-03-23,20711,286,413,24,693
2010-03-30,20711,458,265,24,693
2010-04-06,20711,446,277,24,693
2010-04-13,20711,309,414,24,693
2010-04-20,20711,357,366,24,693
2010-04-27,20711,249,453,24,693
2010-05-04,20711,184,539,24,693
2010-05-11,20711,108,597,24,693
2010-05-18,20711,0,723,24,693
2010-05-25,20711,282,423,24,693
2010-06-01,20711,417,285,24,693
2010-06-08,20711,467,233,24,693
2010-06-15,20711,454,269,24,693
2010-06-22,20711,505,198,24,693
2010-06-29,20711,235,488,24,693
2010-07-06,20711,307,395,24,693
2010-07-13,20711,260,443,24,693
2010-07-20,20711,283,440,24,693
2010-07-27,20711,279,421,24,693
2010-08-03,20711,235,465,24,693
2010-08-10,20711,145,574,24,693
2010-08-17,20711,164,537,24,693
2010-08-24,20711,80,643,24,693
2010-08-31,20711,2,721,24,693
2010-09-07,20711,121,601,24,693
2010-09-14,20711,198,513,24,693
2010-09-21,20711,222,501,24,693
2010-09-28,20711,298,425,24,693
2010-10-05,20711,282,441,24,693
2010-10-12,20711,200,503,24,693
2010-10-19,20711,339,381,24,693
2010-10-26,20711,323,400,24,693
2010-11-02,20711,319,378,24,693
2010-11-09,20711,374,349,24,693
2010-11-16,20711,0,723,24,693
2010-11-23,20711,111,605,24,693
2010-11-30,20711,0,723,24,693
2010-12-07,20711,437,286,24,693
2010-12-14,20711,324,399,24,693
2010-12-21,20711,407,305,24,693
2010-12-28,20711,450,253,24,693
2011-01-04,20711,613,80,24,693
2011-01-11,20711,342,351,24,693
2011-01-18,20711,276,429,24,693
2011-01-25,20711,191,532,24,693
2011-02-01,20711,482,232,24,693
2011-02-08,20711,521,192,24,693
2011-02-15,20711,175,548,24,693
2011-02-22,20711,247,463,24,693
2011-03-01,20711,223,500,24,693
2011-03-08,20711,260,448,24,693
2011-03-15,20711,553,145,24,693
2011-03-22,20711,0,723,24,693
2011-03-29,20711,0,723,24,693
2011-04-05,20711,0,723,24,693
2011-04-12,20711,568,145,24,693
2011-04-19,20711,534,182,24,693
2011-04-26,20711,613,110,24,693
2011-05-03,20711,622,72,24,693
2011-05-10,20711,442,281,24,693
2011-05-17,20711,406,317,24,693
2011-05-24,20711,272,449,24,693
2011-05-31,20711,278,445,24,693
2011-06-07,20711,312,410,24,693
2011-06-14,20711,333,369,24,693
2011-06-21,20711,438,285,24,693
2011-06-28,20711,464,241,24,693
2011-07-05,20711,592,114,24,693
2011-07-12,20711,598,124,24,693
2011-07-19,20711,614,86,24,693
2011-07-26,20711,594,116,24,693
2011-08-02,20711,589,134,24,693
2011-08-09,20711,583,134,24,693
2011-08-16,20711,530,193,24,693
2011-08-23,20711,507,216,24,693
2011-08-30,20711,482,221,24,693
2011-09-06,20711,516,204,24,693
2011-09-13,20711,561,153,24,693
2011-09-20,20711,599,112,24,693
2011-09-27,20711,435,270,24,693
2011-10-04,20711,316,385,24,693
2011-10-11,20711,174,549,24,693
2011-10-18,20711,354,347,24,693
2011-10-25,20711,489,221,24,693
2011-11-01,20711,575,131,24,693
2011-11-08,20711,494,229,24,693
2011-11-15,20711,452,261,24,693
2011-11-22,20711,345,378,24,693
2011-11-29,20711,318,378,24,693
2011-12-06,20711,488,206,24,693
2009-12-01,20712,231,159,24,319
2009-12-08,20712,151,239,24,319
2009-12-15,20712,77,313,24,319
2009-12-22,20712,0,390,24,319
2009-12-29,20712,159,231,24,319
2010-01-05,20712,224,151,24,319
2010-01-12,20712,105,285,24,319
2010-01-19,20712,5,351,24,319
2010-01-26,20712,0,351,24,319
2010-02-02,20712,0,351,24,319
2010-02-09,20712,168,222,24,319
2010-02-16,20712,153,236,24,319
2010-02-23,20712,105,236,24,319
2010-03-02,20712,0,347,24,319
2010-03-09,20712,0,358,24,319
2010-03-16,20712,0,336,24,319
2010-03-23,20712,76,303,24,319
2010-03-30,20712,0,377,24,319
2010-04-06,20712,103,287,24,319
2010-04-13,20712,0,390,24,319
2010-04-20,20712,30,312,24,319
2010-04-27,20712,0,390,24,319
2010-05-04,20712,100,255,24,319
2010-05-11,20712,4,352,24,319
2010-05-18,20712,10,356,24,319
2010-05-25,20712,14,376,24,319
2010-06-01,20712,200,176,24,319
2010-06-08,20712,0,390,24,319
2010-06-15,20712,0,390,24,319
2010-06-22,20712,0,390,24,319
2010-06-29,20712,72,287,24,319
2010-07-06,20712,69,294,24,319
2010-07-13,20712,163,200,24,319
2010-07-20,20712,163,200,24,319
2010-07-27,20712,363,0,24,319
2010-08-03,20712,363,0,24,319
2010-08-10,20712,363,0,24,319
2010-08-17,20712,263,127,24,319
2010-08-24,20712,263,127,24,319
2010-08-31,20712,263,127,24,319
2010-09-07,20712,0,390,24,319
2010-09-14,20712,0,361,24,319
2010-09-21,20712,0,361,24,319
2010-09-28,20712,117,273,24,319
2010-10-05,20712,0,347,24,319
2010-10-12,20712,18,342,24,319
2010-10-19,20712,0,342,24,319
2010-10-26,20712,205,185,24,319
2010-11-02,20712,100,290,24,319
2010-11-09,20712,92,270,24,319
2010-11-16,20712,0,351,24,319
2010-11-23,20712,32,337,24,319
2010-11-30,20712,0,351,24,319
2010-12-07,20712,33,297,24,319
2010-12-14,20712,0,390,24,319
2010-12-21,20712,116,274,24,319
2010-12-28,20712,205,174,24,319
2011-01-04,20712,297,81,24,319
2011-01-11,20712,105,285,24,319
2011-01-18,20712,129,204,24,319
2011-01-25,20712,0,333,24,319
2011-02-01,20712,36,320,24,319
2011-02-08,20712,91,297,24,319
2011-02-15,20712,185,168,24,319
2011-02-22,20712,6,353,24,319
2011-03-01,20712,6,358,24,319
2011-03-08,20712,0,370,24,319
2011-03-15,20712,161,185,24,319
2011-03-22,20712,124,203,24,319
2011-03-29,20712,0,386,24,319
2011-04-05,20712,0,390,24,319
2011-04-12,20712,79,284,24,319
2011-04-19,20712,147,199,24,319
2011-04-26,20712,90,300,24,319
2011-05-03,20712,124,199,24,319
2011-05-10,20712,8,382,24,319
2011-05-17,20712,0,382,24,319
2011-05-24,20712,65,281,24,319
2011-05-31,20712,65,292,24,319
2011-06-07,20712,140,207,24,319
2011-06-14,20712,0,390,24,319
2011-06-21,20712,27,363,24,319
2011-06-28,20712,70,265,24,319
2011-07-05,20712,78,312,24,319
